   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2371/1    0.064    0.000   16.472   16.472 {built-in method builtins.exec}
        1    0.001    0.001   16.472   16.472 build_training_data.py:1(<module>)
       22    0.000    0.000   13.860    0.630 threading.py:288(wait)
       48   13.859    0.289   13.859    0.289 {method 'acquire' of '_thread.lock' objects}
       21    0.000    0.000   13.859    0.660 _base.py:428(result)
       20    0.000    0.000   13.742    0.687 engine.py:2803(analyse)
      238    0.377    0.002    8.887    0.037 __init__.py:1(<module>)
   1955/4    0.012    0.000    2.592    0.648 <frozen importlib._bootstrap>:1165(_find_and_load)
   1935/4    0.008    0.000    2.592    0.648 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   1861/4    0.006    0.000    2.591    0.648 <frozen importlib._bootstrap>:666(_load_unlocked)
   1714/4    0.004    0.000    2.591    0.648 <frozen importlib._bootstrap_external>:934(exec_module)
   4387/8    0.003    0.000    2.587    0.323 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   833/66    0.002    0.000    1.930    0.029 {built-in method builtins.__import__}
        1    0.000    0.000    1.816    1.816 games.py:1(<module>)
 2057/380    0.004    0.000    1.731    0.005 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.001    0.001    0.668    0.668 _meta_registrations.py:1(<module>)
     1714    0.015    0.000    0.620    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.570    0.570 rl_notorch.py:1(<module>)
        3    0.000    0.000    0.560    0.187 base.py:1(<module>)
        2    0.001    0.000    0.553    0.276 decompositions.py:1(<module>)
        1    0.000    0.000    0.488    0.488 fake_tensor.py:1(<module>)
        1    0.000    0.000    0.482    0.482 _guards.py:1(<module>)
        1    0.000    0.000    0.383    0.383 _param_validation.py:1(<module>)
        1    0.000    0.000    0.382    0.382 validation.py:1(<module>)
        1    0.000    0.000    0.380    0.380 _array_api.py:1(<module>)
     1714    0.006    0.000    0.370    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.365    0.365 fixes.py:1(<module>)
     1893    0.015    0.000    0.338    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.310    0.310 _stats_py.py:1(<module>)
     1872    0.002    0.000    0.309    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
     1872    0.005    0.000    0.307    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
1861/1744    0.003    0.000    0.291    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     1714    0.288    0.000    0.288    0.000 {built-in method io.open_code}
     2317    0.019    0.000    0.281    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     6899    0.239    0.000    0.239    0.000 {built-in method nt.stat}
     6771    0.003    0.000    0.238    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  126/112    0.000    0.000    0.227    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
  126/112    0.120    0.001    0.227    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.217    0.217 distributions.py:1(<module>)
        5    0.000    0.000    0.216    0.043 functional.py:1(<module>)
3630/3591    0.062    0.000    0.213    0.000 {built-in method builtins.__build_class__}
     1714    0.004    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.123    0.123 polyfuncs.py:1(<module>)
     1714    0.123    0.000    0.123    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.123    0.123 specialpolys.py:1(<module>)
        3    0.005    0.002    0.121    0.040 __init__.py:410(_attack_table)
        1    0.000    0.000    0.120    0.120 engine.py:2855(popen_uci)
        1    0.000    0.000    0.120    0.120 engine.py:2838(popen)
        1    0.000    0.000    0.120    0.120 engine.py:174(run_in_background)
    10816    0.029    0.000    0.116    0.000 __init__.py:371(_sliding_attacks)
        1    0.000    0.000    0.112    0.112 rings.py:1(<module>)
        1    0.000    0.000    0.094    0.094 _continuous_distns.py:1(<module>)
     2531    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    11340    0.059    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
    53810    0.057    0.000    0.087    0.000 __init__.py:219(square_distance)
     2321    0.002    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
31110/30478    0.009    0.000    0.087    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.084    0.084 latex.py:1(<module>)
        2    0.000    0.000    0.082    0.041 errors.py:1(<module>)
      107    0.001    0.000    0.081    0.001 _distn_infrastructure.py:1797(__init__)
        1    0.000    0.000    0.079    0.079 _distn_infrastructure.py:1(<module>)
       18    0.000    0.000    0.079    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.077    0.077 _diagnostic.py:1(<module>)
       22    0.000    0.000    0.077    0.003 __init__.py:187(__getattr__)
       22    0.000    0.000    0.077    0.003 __init__.py:108(import_module)
       22    0.000    0.000    0.077    0.003 <frozen importlib._bootstrap>:1192(_gcd_import)
       10    0.000    0.000    0.077    0.008 linear.py:1(<module>)
        1    0.000    0.000    0.076    0.076 indexed.py:1(<module>)
        2    0.000    0.000    0.074    0.037 engine.py:1(<module>)
        1    0.000    0.000    0.072    0.072 _infra.py:1(<module>)
        1    0.000    0.000    0.066    0.066 formatter.py:1(<module>)
     1714    0.002    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      123    0.000    0.000    0.064    0.001 dataclasses.py:1219(wrap)
      123    0.004    0.000    0.064    0.001 dataclasses.py:884(_process_class)
     3428    0.011    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     1861    0.007    0.000    0.062    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
    62389    0.026    0.000    0.059    0.000 {built-in method builtins.getattr}
      406    0.024    0.000    0.058    0.000 doccer.py:13(docformat)
        1    0.000    0.000    0.055    0.055 eager_transforms.py:1(<module>)
        1    0.000    0.000    0.055    0.055 _laplacian.py:1(<module>)
      123    0.000    0.000    0.055    0.000 dataclasses.py:1202(dataclass)
      126    0.001    0.000    0.054    0.000 _distn_infrastructure.py:779(_construct_doc)
       86    0.000    0.000    0.053    0.001 dispatcher.py:178(add)
       86    0.000    0.000    0.053    0.001 dispatcher.py:222(reorder)
     1607    0.002    0.000    0.051    0.000 inspect.py:3278(signature)
        1    0.000    0.000    0.050    0.050 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.050    0.050 polytools.py:1(<module>)
     1607    0.001    0.000    0.050    0.000 inspect.py:3024(from_callable)
2262/1617    0.009    0.000    0.049    0.000 inspect.py:2428(_signature_from_callable)
      449    0.001    0.000    0.049    0.000 __init__.py:80(decomposition_decorator)
        1    0.000    0.000    0.049    0.049 partfrac.py:1(<module>)
        1    0.000    0.000    0.049    0.049 decorator.py:59(xthreaded)
        1    0.000    0.000    0.049    0.049 decorator.py:10(threaded_factory)
      425    0.000    0.000    0.047    0.000 basic.py:116(__init_subclass__)
      426    0.022    0.000    0.047    0.000 assumptions.py:614(_prepare_class_assumptions)
     1714    0.046    0.000    0.046    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.045    0.045 _joblib.py:1(<module>)
        1    0.000    0.000    0.043    0.043 base_events.py:1(<module>)
     3554    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap>:392(cached)
      550    0.001    0.000    0.042    0.000 _pytree.py:194(tree_map)
        2    0.000    0.000    0.042    0.021 quantize.py:1(<module>)
     1840    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.039    0.039 point.py:1(<module>)
      403    0.002    0.000    0.039    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.038    0.038 entity.py:1(<module>)
