run iter 0
run iter 2
run iter 4
run iter 6
run iter 8
Good model: 13	Bad model: 10	Draws:177
         121942046 function calls (120868563 primitive calls) in 121.265 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1659/1    0.027    0.000  121.695  121.695 {built-in method builtins.exec}
        1    0.019    0.019  121.695  121.695 single_chess.py:1(<module>)
      200    0.908    0.005   71.859    0.359 single_chess.py:183(duel_models)
       10    0.125    0.013   33.710    3.371 single_chess.py:49(generate_training_games)
    60637    0.258    0.000   32.125    0.001 networks.py:906(forward)
1091581/60752    1.249    0.000   31.752    0.001 module.py:1494(_call_impl)
    60637    1.442    0.000   31.522    0.001 container.py:215(forward)
    60522   24.367    0.000   24.367    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
   113879    0.791    0.000   16.532    0.000 single_chess.py:27(get_legal_move)
   169886    0.183    0.000   15.423    0.000 __init__.py:2389(fen)
   169886    0.310    0.000   15.216    0.000 __init__.py:2657(epd)
       10    0.033    0.003   14.330    1.433 single_chess.py:136(train)
   181911    0.360    0.000   13.857    0.000 conv.py:462(forward)
   169886    4.986    0.000   13.722    0.000 __init__.py:955(board_fen)
   181911    0.197    0.000   13.396    0.000 conv.py:454(_conv_forward)
   181911   13.198    0.000   13.198    0.000 {built-in method torch.conv2d}
  3308408    1.637    0.000   11.966    0.000 __init__.py:3554(generate_legal_moves)
    60806    7.966    0.000    7.967    0.000 {method 'to' of 'torch._C._TensorBase' objects}
    60637    4.443    0.000    7.778    0.000 games.py:81(fen_to_7d_parallel)
     2650    0.034    0.000    7.541    0.003 single_chess.py:71(<listcomp>)
 10872704    3.476    0.000    5.906    0.000 __init__.py:701(piece_at)
   115745    0.290    0.000    5.785    0.000 __init__.py:1904(outcome)
  3419452    2.740    0.000    5.735    0.000 __init__.py:1682(generate_pseudo_legal_moves)
     2650    0.016    0.000    5.502    0.002 single_chess.py:67(<listcomp>)
      115    5.487    0.048    5.496    0.048 single_chess.py:97(eval_loss)
   114079    0.044    0.000    5.398    0.000 __init__.py:1897(is_game_over)
   181911    0.857    0.000    5.397    0.000 batchnorm.py:137(forward)
      196    0.307    0.002    4.926    0.025 __init__.py:1(<module>)
   181911    0.325    0.000    4.401    0.000 linear.py:113(forward)
   181911    0.275    0.000    4.104    0.000 functional.py:2419(batch_norm)
   181911    3.984    0.000    3.984    0.000 {built-in method torch._C._nn.linear}
   181911    3.714    0.000    3.714    0.000 {built-in method torch.batch_norm}
  3235313    1.395    0.000    3.500    0.000 __init__.py:3516(_is_safe)
   115564    0.043    0.000    3.169    0.000 __init__.py:2027(is_fivefold_repetition)
   115564    1.073    0.000    3.126    0.000 __init__.py:2121(is_repetition)
   303185    0.195    0.000    3.015    0.000 activation.py:102(forward)
   113879    1.162    0.000    2.981    0.000 single_chess.py:31(<listcomp>)
   303185    0.209    0.000    2.820    0.000 functional.py:1446(relu)
   271899    1.106    0.000    2.785    0.000 __init__.py:2176(push)
   303185    2.561    0.000    2.561    0.000 {built-in method torch.relu}
  3687839    1.148    0.000    2.390    0.000 __init__.py:472(symbol)
 11688449    2.219    0.000    2.219    0.000 __init__.py:711(piece_type_at)
   849431    0.447    0.000    1.738    0.000 numeric.py:150(ones)
  7470608    1.511    0.000    1.732    0.000 __init__.py:290(scan_reversed)
234700/234655    0.096    0.000    1.570    0.000 {built-in method builtins.any}
   904001    0.291    0.000    1.563    0.000 __init__.py:799(attackers_mask)
   1400/3    0.006    0.000    1.458    0.486 <frozen importlib._bootstrap>:1167(_find_and_load)
